n_items,rep,time,theta_coverage,beta_coverage,n_participants,simulation,model,theta_correlation,beta_correlation,condition
20,9,143.69865608215332,0.93,1,100,Mixture,Mixed normal/skew,0.9280627174844576,0.9900420565550032,Mixture
20,10,151.24833297729492,0.98,1,100,Mixture,Mixed normal/skew,0.9451947842646942,0.9875804260471772,Mixture
50,1,331.1537940502167,0.91,0.96,100,Mixture,Mixed normal/skew,0.9770016692129928,0.9856677434359178,Mixture
50,2,344.8743679523468,0.96,1,100,Mixture,Mixed normal/skew,0.9723379159653668,0.9871512984081726,Mixture
50,3,326.5542769432068,0.97,0.92,100,Mixture,Mixed normal/skew,0.974033490779193,0.9821796790001154,Mixture
50,4,321.7618100643158,0.96,1,100,Mixture,Mixed normal/skew,0.9731751381302928,0.9880838327758464,Mixture
50,5,322.28147888183594,0.97,0.9,100,Mixture,Mixed normal/skew,0.9733550430400868,0.983238252988772,Mixture
50,6,313.3188650608063,0.99,1,100,Mixture,Mixed normal/skew,0.9794667792054524,0.9895296174065372,Mixture
50,7,306.6069178581238,0.96,1,100,Mixture,Mixed normal/skew,0.9698004593518572,0.9894115469611506,Mixture
50,8,323.30679392814636,0.95,1,100,Mixture,Mixed normal/skew,0.9708270252354548,0.9888387249642012,Mixture
50,9,342.244047164917,0.98,0.96,100,Mixture,Mixed normal/skew,0.969301950264908,0.9867192095967894,Mixture
50,10,325.3929591178894,0.98,0.92,100,Mixture,Mixed normal/skew,0.9766895315039008,0.9890560611500226,Mixture
600,1,762.4625210762024,0.97,0.9412,100,Mixture,Mixed normal/skew,0.9866089873232328,0.929169364981745,Mixture
600,2,775.5130610466003,0.96,0.9538,100,Mixture,Mixed normal/skew,0.9849195965078996,0.9234141230513462,Mixture
600,3,728.8255169391632,0.9,0.9563,100,Mixture,Mixed normal/skew,0.9855201031711674,0.9281557405912628,Mixture
600,4,723.3510720729828,0.87,0.9596,100,Mixture,Mixed normal/skew,0.9880248179190364,0.9420061285586948,Mixture
600,5,710.1522371768951,0.96,0.939,100,Mixture,Mixed normal/skew,0.9887996742744082,0.9335913786194324,Mixture
600,6,705.5167810916901,0.87,0.9503,100,Mixture,Mixed normal/skew,0.9869879377069736,0.927461039861754,Mixture
600,7,678.602786064148,0.95,0.9537,100,Mixture,Mixed normal/skew,0.9794908442907116,0.9321081838165538,Mixture
600,8,718.9880828857422,0.96,0.9328,100,Mixture,Mixed normal/skew,0.9889518504925952,0.92403908763471,Mixture
600,9,769.3203511238098,0.98,0.9538,100,Mixture,Mixed normal/skew,0.9897068992454742,0.931755051910086,Mixture
600,10,692.5466828346252,0.92,0.9546,100,Mixture,Mixed normal/skew,0.9785012756309784,0.9306783297541776,Mixture
300,1,711.143620967865,0.98,0.963,100,Mixture,Mixed normal/skew,0.9852771081118756,0.9599198530271226,Mixture
300,2,683.2257349491119,0.98,0.943,100,Mixture,Mixed normal/skew,0.9772544652981788,0.94897757554154,Mixture
300,3,679.731173992157,0.98,0.9537,100,Mixture,Mixed normal/skew,0.9842017195221948,0.9611830867713328,Mixture
300,4,664.7979309558868,0.97,0.9415,100,Mixture,Mixed normal/skew,0.9801752741921492,0.9578332343144282,Mixture
300,5,644.8605909347534,0.95,0.9331,100,Mixture,Mixed normal/skew,0.9840439110394188,0.9427678323224598,Mixture
300,6,674.5563640594482,0.92,0.9277,100,Mixture,Mixed normal/skew,0.9863408852240504,0.9572372091714731,Mixture
300,7,683.0656430721283,0.98,0.9145,100,Mixture,Mixed normal/skew,0.9905724480427992,0.9577399658459076,Mixture
300,8,677.5292689800262,0.94,0.9623,100,Mixture,Mixed normal/skew,0.9775018808567884,0.958310741470124,Mixture
300,9,666.8344180583954,0.73,0.9397,100,Mixture,Mixed normal/skew,0.9898892124556448,0.9678590138087266,Mixture
300,10,664.1708240509033,0.97,0.9572,100,Mixture,Mixed normal/skew,0.9838233238627284,0.9551400009906764,Mixture
